a,Course_Title,Course_Credit
AH 3203.,Aging: Implications for Health Professionals.,(3 Credits)
AH 3231.,Program Planning for Health Promotion.,(3 Credits)
AH 3234.,Fitness for Health.,(3 Credits)
AH 3275.,HAZWOPER.,(3 Credits)
AH 3278.,Worker's Compensation.,(3 Credits)
AH 3289.,Research in Allied Health Sciences.,(1-3 Credits)
AH 3303.,"Disability Law, Policy, Ethics, and Advocacy.",(3 Credits)
AH 3320.,Introduction to Infectious Diseases.,(2 Credits)
AH 3501.,Diagnostic Techniques for the Biomedical Sciences.,(2 Credits)
AH 3570.,Health and Safety Management in the Workplace.,(3 Credits)
AH 3571.,Health Hazards in the Workplace.,(3 Credits)
AH 3573.,Health and Safety Standards in the Workplace.,(3 Credits)
AH 3574.,Ergonomics.,(3 Credits)
AH 3993.,Foreign Studies.,(1-6 Credits)
AH 4025.,Sociocultural Aspects of Aging and Health.,(3 Credits)
AH 4092.,EMT Training.,(4 Credits)
AH 4093.,International Study in Allied Health.,(1-6 Credits)
AH 4095.,Special Topics.,(1-6 Credits)
AH 4239.,Research Methods in Allied Health.,(2 Credits)
AH 4240W.,Writing for Allied Health Research.,(1 Credit)
AH 4241.,Research for the Health Professional.,(2 Credits)
AH 4242.,Counseling and Teaching for the Health Professional.,(3 Credits)
AH 4243.,Current Issues in Health.,(3 Credits)
AH 4244.,Management for the Health Professional.,(3 Credits)
AH 4288.,Instructional Assistant in Allied Health Sciences.,(1-3 Credits)
AH 4289.,Honors Thesis Research in Allied Health Sciences.,(1-3 Credits)
AH 4291.,OSH Internship.,(1-6 Credits)
AH 4296.,Undergraduate Research in Allied Health.,(3 Credits)
AH 4297W.,Honors Thesis in Allied Health Sciences.,(3 Credits)
AH 4501.,International Health.,(3 Credits)
AH 4503.,Poverty and Public Health.,(3 Credits)
AH 4530.,Health Equity and Social Determinants of Health.,(3 Credits)
ASLN 1101.,Elementary American Sign Language I.,(4 Credits)
ASLN 1102.,Elementary American Sign Language II.,(4 Credits)
ASLN 1103.,Intermediate American Sign Language I.,(4 Credits)
ASLN 1104.,Intermediate American Sign Language II.,(4 Credits)
ASLN 1193.,Foreign Study.,(1-6 Credits)
ASLN 2500.,Introduction to Interpreting: American Sign Language and English.,(3 Credits)
ASLN 2600.,Process of Interpreting: American Sign Language and English.,(3 Credits)
ASLN 2700.,Interpreting in Various Settings.,(3 Credits)
ASLN 2800.,Consecutive Interpreting.,(3 Credits)
ASLN 3254.,Women and Gender in the Deaf World.,(3 Credits)
ASLN 3290.,Field Study.,(1-3 Credits)
ASLN 3292.,Experiential Learning.,(1-3 Credits)
ASLN 3293.,Foreign Study.,(1-6 Credits)
ASLN 3295.,Special Topics.,(1-6 Credits)
ASLN 3298.,Variable Topics.,(3 Credits)
ASLN 3299.,Independent Study.,(1-6 Credits)
ASLN 3305.,Advanced American Sign Language.,(3 Credits)
ASLN 3306W.,Advanced American Sign Language Level II.,(3 Credits)
ASLN 3360.,Deaf Art and Artists.,(3 Credits)
ASLN 3650.,Deaf Writers and American Sign Language Literature.,(3 Credits)
ASLN 3800.,Structure of American Sign Language.,(3 Credits)
AMST 1201.,Introduction to American Studies.,(3 Credits)
AMST 1700E.,Honors Core: American Landscapes.,(3 Credits)
AMST 2200.,Literature and Culture of North America before 1800.,(3 Credits)
AMST 2201.,Introduction to Asian American Studies.,(3 Credits)
AMST 2204.,Jewish Culture in American Film.,(3 Credits)
AMST 2207.,Empire and U.S. Culture.,(3 Credits)
AMST 2274W.,Disability in American Literature and Culture.,(3 Credits)
AMST 2276.,American Utopias and Dystopias.,(3 Credits)
AMST 2276W.,American Utopias and Dystopias.,(3 Credits)
AMST 2400.,City and Community in Film.,(3 Credits)
AMST 2550.,"Crime, Policing, and Punishment in the United States.",(3 Credits)
AMST 2993.,International Study.,(1-9 Credits)
AMST 3082.,Critical Race Theory as Political Theory.,(3 Credits)
AMST 3265W.,American Studies Methods.,(3 Credits)
AMST 3267W.,Race and the Scientific Imagination.,(3 Credits)
AMST 3271.,Immigration and Transborder Politics.,(3 Credits)
AMST 3440W.,"Visual Culture of the United States, 19th Century.",(3 Credits)
AMST 3502.,"Colonial America: Native Americans, Slaves, and Settlers, 1492-1760.",(3 Credits)
AMST 3502W.,"Colonial America: Native Americans, Slaves, and Settlers, 1492-1760.",(3 Credits)
AMST 3531.,Japanese Americans and World War II.,(3 Credits)
AMST 3542E.,New England Environmental History.,(3 Credits)
AMST 3544.,"Atlantic Voyages: European Maritime Expansion, 1400-1650.",(3 Credits)
AMST 3568.,"Hip Hop, Politics and Youth Culture in America.",(3 Credits)
AMST 3570.,History and Theory of Digital Art.,(3 Credits)
AMST 3699.,Independent Study.,(1-6 Credits)
AMST 3807.,Constitutional Rights and Liberties.,(3 Credits)
AMST 3822.,Law and Popular Culture.,(3 Credits)
AMST 3822W.,Law and Popular Culture.,(3 Credits)
AMST 4897.,Honors Thesis.,(1-3 Credits)
ANSC 1001.,Introduction to Animal Science.,(3 Credits)
ANSC 1111.,Principles of Animal Nutrition and Feeding.,(3 Credits)
ANSC 1602.,Behavior and Training of Domestic Animals.,(3 Credits)
ANSC 1645.,The Science of Food.,(3 Credits)
ANSC 1676.,Introduction to Companion Animals.,(3 Credits)
ANSC 1693.,Foreign Studies in Animal Science.,(1-15 Credits)
ANSC 1695.,Special Topics.,(1-3 Credits)
ANSC 2251.,Horse Science.,(3 Credits)
ANSC 2271.,Principles of Poultry Science.,(3 Credits)
ANSC 2276.,Companion Animal Science.,(3 Credits)
ANSC 2685.,Special Topics.,(1-6 Credits)
ANSC 2690.,Animal Science Field Excursions.,(1 Credit)
ANSC 2695.,Special Topics.,(1-6 Credits)
ANSC 2699.,Independent Study.,(1-6 Credits)
ANSC 3121.,Principles of Animal Genetics.,(3 Credits)
ANSC 3122.,Reproductive Physiology.,(4 Credits)
ANSC 3194.,Career Paths in Animal Science.,(1 Credit)
ANSC 3261.,Dairy Cattle Management.,(3 Credits)
ANSC 3272.,Laboratory Animal Science.,(3 Credits)
ANSC 3273.,Livestock Management.,(4 Credits)
ANSC 3311.,Comparative Exercise Physiology.,(3 Credits)
ANSC 3312W.,Scientific Writing in Comparative Exercise Physiology.,(1 Credit)
ANSC 3313.,Growth Biology and Metabolism in Domestic Livestock.,(3 Credits)
ANSC 3314W.,Scientific Writing in Growth Biology and Metabolism of Domestic Livestock.,(1 Credit)
ANSC 3316.,Endocrinology of Farm Animals.,(3 Credits)
ANSC 3317W.,Scientific Writing in Endocrinology of Farm Animals.,(1 Credit)
ANSC 3318.,Probiotics and Prebiotics.,(3 Credits)
ANSC 3323.,Animal Embryology and Biotechnology.,(3 Credits)
ANSC 3324W.,Scientific Writing in Embryo Biotechnology.,(1 Credit)
ANSC 3343.,Animal Food Products.,(3 Credits)
ANSC 3344W.,Scientific Writing in Animal Food Products.,(1 Credit)
ANSC 3420.,Little I Training Assistant Practicum.,(1 Credit)
ANSC 3421.,Little I Chair Practicum.,(2 Credits)
ANSC 3452.,Horse Breeding Farm Management.,(3 Credits)
ANSC 3453.,Pleasure Horse Appreciation and Use.,(1 Credit)
ANSC 3455.,Developing the Driving Horse.,(2 Credits)
ANSC 3457.,Advanced Broodmare and Foal Management.,(2 Credits)
ANSC 3551.,Equine Training I - Foundations.,(2 Credits)
ANSC 3552.,Equine Training II - Backing.,(2 Credits)
ANSC 3553.,Equine Training III - Advanced.,(2 Credits)
ANSC 3554.,Equine Sports Rehabilitation Practicum.,(2 Credits)
ANSC 3555.,Equine Rehabilitation Seminar.,(1 Credit)
ANSC 3641.,Animal Food Products: Dairy Technology.,(3 Credits)
ANSC 3642W.,Scientific Writing in Animal Food Products: Dairy Technology.,(1 Credit)
ANSC 3663.,Dairy Management Decision-making.,(1 Credit)
ANSC 3664.,Dairy Cattle Evaluation.,(1 Credit)
ANSC 3674.,Livestock and Carcass Evaluation.,(2 Credits)
ANSC 3675.,Advanced Animal and Product Evaluation.,(1 Credit)
ANSC 3681.,Summer Internship Experience.,(0 Credits)
ANSC 3691.,Professional Internship.,(1-15 Credits)
ANSC 3693.,Foreign Studies in Animal Science.,(1-15 Credits)
ANSC 3695.,Special Topics.,(1-6 Credits)
ANSC 3698.,Variable Topics.,(1-6 Credits)
ANSC 3790.,Undergraduate Teaching Assistance in Animal Science.,(1 Credit)
ANSC 4311.,Advanced Animal Nutrition.,(3 Credits)
ANSC 4312W.,Scientific Writing in Advanced Animal Nutrition.,(1 Credit)
ANSC 4341.,Food Microbiology and Safety.,(3 Credits)
ANSC 4342W.,Scientific Writing in Food Microbiology and Safety.,(1 Credit)
ANSC 4343.,Muscle Biology and Muscle Food Chemistry.,(3 Credits)
ANSC 4457.,Methods of Equitation Instruction.,(2 Credits)
ANSC 4662W.,Dairy Herd Management.,(3 Credits)
ANSC 4697W.,Undergraduate Honors Thesis Writing in Animal Science.,(1 Credit)
SAAS 101.,Introduction to Animal Science.,(3 Credits)
SAAS 111.,Anatomy and Physiology of Domestic Animals.,(3 Credits)
SAAS 112.,Anatomy and Physiology of Domestic Animals.,(3 Credits)
SAAS 113.,Principles of Animal Nutrition and Feeding.,(3 Credits)
SAAS 121.,Animal Breeding and Genetics.,(3 Credits)
SAAS 202.,Behavior and Training of Domestic Animals.,(3 Credits)
SAAS 243.,Animal Products.,(3 Credits)
SAAS 251.,Horse Science.,(3 Credits)
SAAS 252.,Management of the Horse Breeding Farm.,(3 Credits)
SAAS 255.,Foundations of Training.,(2 Credits)
SAAS 257.,Methods of Equitation Instruction.,(2 Credits)
SAAS 261.,Dairy Herd Management.,(3 Credits)
SAAS 262.,Applied Dairy Herd Management.,(3 Credits)
SAAS 271.,Introduction to Poultry Industry.,(3 Credits)
SAAS 272.,Sustainable Animal Management.,(3 Credits)
SAAS 273.,Livestock Production.,(4 Credits)
SAAS 274.,Livestock and Carcass Evaluation.,(2 Credits)
SAAS 275.,Advanced Animal and Product Evaluation.,(1 Credit)
SAAS 276.,Introduction to Companion Animals.,(3 Credits)
SAAS 290.,Animal Science Field Excursions.,(1 Credit)
SAAS 291.,Professional Internship.,(1-6 Credits)
SAAS 294.,Career Paths in the Animal Sciences.,(1 Credit)
SAAS 295.,Special Topics.,(1-6 Credits)
SAAS 298.,Variable Topics.,(1-6 Credits)
SAAS 299.,Independent Study.,(1-6 Credits)
SAAS 358.,Management Skills and Practices - Horses.,(1 Credit)
SAAS 363.,Management Skills and Practices - Dairy Cattle I.,(1 Credit)
SAAS 364.,Management Skills and Practices - Dairy Cattle II.,(1 Credit)
SAAS 373.,Management Skills and Practices - Livestock.,(1 Credit)
SAAS 375.,Management Skills and Practices - Poultry.,(1 Credit)
SAAS 420.,Little I Training Assistant.,(1 Credit)
ANTH 1000.,Peoples and Cultures of the World.,(3 Credits)
ANTH 1000W.,Peoples and Cultures of the World.,(3 Credits)
ANTH 1001W.,Anthropology Through Film.,(3 Credits)
ANTH 1006.,Introduction to Anthropology.,(3 Credits)
ANTH 1010E.,Global Climate Change and Human Societies.,(3 Credits)
ANTH 1093.,Foreign Study.,(1-17 Credits)
ANTH 1095.,Special Topics Lecture.,(1-3 Credits)
ANTH 1500.,Great Discoveries in Archaeology.,(3 Credits)
ANTH 2000.,Social Anthropology.,(3 Credits)
ANTH 2000W.,Social Anthropology.,(3 Credits)
ANTH 2200.,Race and Human Biological Diversity.,(3 Credits)
ANTH 2501.,Introduction to Archaeology.,(3 Credits)
ANTH 2502.,Human Evolution.,(3 Credits)
ANTH 2510.,Methods in Maritime Archaeology.,(3 Credits)
ANTH 2511.,Anthropology of Museums.,(3 Credits)
ANTH 2600.,Microscopy in Applied Archaeobotany Research.,(4 Credits)
ANTH 3003.,Field Research in Social Settings.,(3 Credits)
ANTH 3004.,Cultural Research.,(1-3 Credits)
ANTH 3021.,Contemporary Latin America.,(3 Credits)
ANTH 3025.,Contemporary Africa.,(3 Credits)
ANTH 3026.,Peoples and Cultures of North America.,(3 Credits)
ANTH 3027.,Contemporary Native Americans.,(3 Credits)
ANTH 3028.,Indigenous Rights and Aboriginal Australia.,(3 Credits)
ANTH 3028W.,Indigenous Rights and Aboriginal Australia.,(3 Credits)
ANTH 3029.,The Caribbean.,(3 Credits)
