Course_Code,Course_Title,Course_Credit
HIST 1600W,Introduction to Latin America and the Caribbean,3 Units
HIST 1805,Key Words in East Asian History and Culture,3 Units
HIST 2020,"Pyramids, Pirates, and the Polis: The Ancient Mediterranean",3 Units
HIST 2100W,The Historian's Craft,3 Units
HIST 2103W,Biography as History: Individuals in their Times,3 Units
HIST 2104W,History through Fiction,3 Units
HIST 2105,History through Film,3 Units
HIST 2205,Personality and Power in History,3 Units
HIST 2222E,Global Environmental History,3 Units
HIST 2240,History of War in the Modern World,3 Units
HIST 2350,Byzantium,3 Units
HIST 2401W,Europe in the Nineteenth Century,3 Units
HIST 2402,Europe in the Twentieth Century,3 Units
HIST 2530,Asian American Experience Since 1850,3 Units
HIST 2541W,The History of Urban America,3 Units
HIST 2550,"Crime, Policing, and Punishment in the United States",3 Units
HIST 2752,Africa in Global History,3 Units
HIST 2822,Modern China,3 Units
HIST 2868W,Foreign Relations of China Since 1949,3 Units
HIST 3207,Genocide after the Second World War,3 Units
HIST 3210,Archaeology of the Age of Sail,3 Units
HIST 3321,Hellenistic World: Alexander to Cleopatra,3 Units
HIST 3326,Ancient Rome: Emperors and Barbarians,3 Units
HIST 3330,Palestine Under the Greeks and Romans,3 Units
HIST 3361,The High and Later Middle Ages,3 Units
HIST 3375,"The Devil in German History: Magic, Evil, and Faust",3 Units
HIST 3400,Europe in the Seventeenth Century,3 Units
HIST 3419,Jewish Responses to the Holocaust,3 Units
HIST 3420,English History to 1603,3 Units
HIST 3440,France Since 1715,3 Units
HIST 3510,Civil War America,3 Units
HIST 3516,Rise of U.S. Global Power,3 Units
HIST 3520,Social and Cultural History of Connecticut and New England,3 Units
HIST 3531,Japanese Americans and World War II,3 Units
HIST 3540E,Environmental History of the Americas,3 Units
HIST 3545,"The Modern Atlantic, 1650-1950",3 Units
HIST 3559,"History of Childhood in the United States, 1620-Present",3 Units
HIST 3562,"History of Women and Gender in the United States, 1850-Present",3 Units
HIST 3563,African American History to 1865,3 Units
HIST 3564,African American History Since 1865,3 Units
HIST 3565,African American Women's History,3 Units
HIST 3568,"Hip Hop, Politics and Youth Culture in America",3 Units
HIST 3569,Slavery in Film,3 Units
HIST 3619W,History of the Caribbean,3 Units
HIST 3620,"Cuba, Puerto Rico, and the Spanish Caribbean",3 Units
HIST 3635,History of Modern Mexico,3 Units
HIST 3674,History of Latinos/as in the United States,3 Units
HIST 3705,The Modern Middle East from 1700 to the Present,3 Units
HIST 3710,Islamic Art History,3 Units
HIST 3809,East Asia Since the Mid-Nineteenth Century,3 Units
HIST 3845,The Vietnam War,3 Units
HIST 3991,Internship,1-6 Units
HIST 4989,Directed Research,3 Units
HIST 4994W,Senior Seminar,3 Units
HIST 4994W,Senior Seminar: History of Capitalism From Medieval Times On,3 Units
HIST 4994W,Senior Seminar: Slavery and Abolition,3 Units
HIST 4994W,Senior Seminar: The History of the Cold War,3 Units
HIST 4997W,Senior Thesis in History,3 Units
HIST 4999,Independent Study,1-6 Units
HRTS 1007,Introduction to Human Rights,3 Units
HRTS 2200,Introduction to Genocide Studies,3 Units
HRTS 2263,"Women, Gender, and Violence",3 Units
HRTS 2300E,Engineering for Human Rights,3 Units
HRTS 2530,African Americans and Social Protest,3 Units
HRTS 2800,Human Rights in the United States,3 Units
HRTS 2996,Directed Research I,1 Unit
HRTS 3042,Theories of Human Rights,3 Units
HRTS 3050,Approaches to Human Rights Advocacy,3 Units
HRTS 3055,Theory and Practice of International Criminal Justice,3 Units
HRTS 3139,Theatre and Human Rights,3 Units
HRTS 3149W,Human Rights through Film,3 Units
HRTS 3207,Genocide after the Second World War,3 Units
HRTS 3209,Sustainable Energy in the 21st Century,3 Units
HRTS 3219W,Topics in Philosophy and Human Rights,3 Units
HRTS 3252,Business and Human Rights,3 Units
HRTS 3254,Social Responsibility and Accountability in Business,3 Units
HRTS 3298,Variable Topics: Human Rights & US/Mex Border:Literature&Film,3 Units
HRTS 3298,"Variable Topics: Image of Love: Images, Love and Human Rights",3 Units
HRTS 3460,Human Rights and Armed Conflict,3 Units
HRTS 3475,Economic Development and Human Rights,3 Units
HRTS 3540,Topics in Human Rights Practice: Human Rights & Social Work,3 Units
HRTS 3540,Topics in Human Rights Practice: Revolution Meets Resolution,3 Units
HRTS 3563,African American History to 1865,3 Units
HRTS 3641,Human Rights Archives II: Visual Storytelling Practices,3 Units
HRTS 3807,Constitutional Rights and Liberties,3 Units
HRTS 4291,Service Learning Seminar/Internship,3 Units
ILCS 1002,Elementary Italian II,4 Units
ILCS 1004,Intermediate Italian II,4 Units
ILCS 1149,Cinema and Society in Contemporary Italy,3 Units
ILCS 1160,Culture of Fascist Italy,3 Units
ILCS 1168,Adaptation: Italian Literature into Film,3 Units
ILCS 1170,Introducing Italy through Its Regions,3 Units
ILCS 3240,Italian Composition and Conversation II,3 Units
ILCS 3248W,The Italian Novella,3 Units
ILCS 3260W,Italian Cinema,3 Units
ILCS 3291,Italian Internship,1-6 Units
ILCS 3295,Special Topics: Fascism and Antifacism in Italian Film and Literat,3 Units
ILCS 3299,Independent Study,1-6 Units
INTD 3584,Seminar in Urban Problems,3 Units
INTD 3590,Urban Field Studies,9 Units
INTD 3594,Urban Semester Field Work Seminar,3 Units
INTD 3594W,Urban Semester Field Work Seminar,3 Units
INTD 3999,Independent Study,3 Units
JAPN 1102,Elementary Japanese II,4 Units
JAPN 1104,Intermediate Japanese II,4 Units
JOUR 1002,The Press in America,3 Units
JOUR 1095,Special Topics: Introduction to Sports Journalism,3 Units
JOUR 2000W,Newswriting I,3 Units
JOUR 2001W,Newswriting II,3 Units
JOUR 2010,Journalism in the Movies,3 Units
JOUR 2065,Mobile Journalism,3 Units
JOUR 2111,Journalism Portfolio I: Multimedia Skills,1 Unit
JOUR 2575,The Art of the Interview in Documentary Filmmaking,3 Units
JOUR 3002,Journalism Ethics,3 Units
JOUR 3012W,Feature Writing,3 Units
JOUR 3015,Sports Reporting Across Multiple Platforms,3 Units
JOUR 3020,Media Law,3 Units
JOUR 3030,Multiplatform Editing,3 Units
JOUR 3030,Multiplatform Editing: Writing Course,3 Units
JOUR 3031,Design for Digital Journalists,3 Units
JOUR 3035,Podcasting,3 Units
JOUR 3040,Newswriting for Broadcast and Digital Media,3 Units
JOUR 3042,Live News Program Production,3 Units
JOUR 3046E,Environmental Journalism,3 Units
JOUR 3087,Honors Thesis Preparation Seminar,1 Unit
JOUR 3093,Foreign Study,1-6 Units
JOUR 3097,Honors Thesis,3 Units
JOUR 3111,Journalism Portfolio II: Content Development,1 Unit
JOUR 4016,Publication Practice,3 Units
JOUR 4065,Video Storytelling,3 Units
JOUR 4091,Supervised Field Internship,1-3 Units
JOUR 4099,Independent Study,1-6 Units
JOUR 4111,Journalism Portfolio III: Professional Presentation,1 Unit
KINS 1100,Exercise and Wellness for Everyone,3 Units
KINS 1160,Courses in Lifetime Sports Program: Intermediate Martial Arts,1 Unit
KINS 1200,Fundamentals of Exercise Testing,1 Unit
KINS 1300,Fundamentals of Resistance Training,1 Unit
KINS 3091,Internship,1-12 Units
KINS 3098,"Variable Topics: K Stringer Institute Health, Safety & Performance",1 Unit
KINS 3098,Variable Topics: Messing About in Boats,2 Units
KINS 3099,Independent Study for Undergraduates,1-6 Units
KINS 3099W,Independent Study for Undergraduates,1-6 Units
KINS 3212,"Field Experiences in Rehabilitation, Health Care, and Sport",3 Units
KINS 3320,Exercise Psychology,3 Units
KINS 3530,Aerobic Training for Health and Performance,3 Units
KINS 3531W,Scientific Writing in Aerobic Training for Health and Performance,1 Unit
KINS 3550,Exercise Prescription for Clinical Populations,3 Units
KINS 3610,Introduction to Honors Research,3 Units
KINS 3615,Honors Literature Review,3 Units
KINS 3697W,Honors Thesis,3 Units
KINS 4205W,Exercise Science Capstone,3 Units
KINS 4510,Advanced Topics in Health and Sport Performance,3 Units
KINS 4511W,Scientific Writing in Advanced Topics in Health and Sport Performance,1 Unit
KORE 1102,Elementary Korean II,4 Units
KORE 1104,Intermediate Korean II,4 Units
LAND 2120,Landscape Architecture: Graphics II Design Communication,4 Units
LAND 2220,History of Designed Landscapes,3 Units
LAND 2410,Landscape Architecture: Design I - Site Analysis,5 Units
LAND 3230WE,Sustainable Environmental Planning and Landscape Design,3 Units
LAND 3311,Landscape Architecture: Construction II - Planting Design,4 Units
LAND 3430,Landscape Architecture: Design III - Program Development,5 Units
LAND 3981,Landscape Architecture Internship,1-6 Units
LAND 3996,Undergraduate Research in Landscape Architecture,1-6 Units
LAND 3999,Independent Study in Landscape Architecture,1-6 Units
LAND 4294,Landscape Architecture: Seminar,3 Units
LAND 4450,Landscape Architecture: Design V - Capstone,5 Units
LING 1010,Language and Mind,3 Units
LING 1030,The Diversity of Languages,3 Units
LING 2010Q,The Science of Linguistics,3 Units
LING 3000Q,Introduction to Computational Linguistics,3 Units
LING 3410Q,Semantics,3 Units
LING 3610W,Language and Culture,3 Units
LING 3789,Undergraduate Research,1-3 Units
LING 3799,Independent Study,1-6 Units
LING 3800,Structure of American Sign Language,3 Units
LLAS 1000,Introduction to Latina/o Studies,3 Units
LLAS 1009,"Latino Literature, Culture, and Society",3 Units
LLAS 1190,Introduction to Latin America and the Caribbean,3 Units
LLAS 1190W,Introduction to Latin America and the Caribbean,3 Units
LLAS 2001,"Latinos, Leadership and Mentoring",3 Units
LLAS 2011W,Introduction to Latino-American Writing and Research,3 Units
LLAS 2012,Latinos in Connecticut: Writing for the Community,4 Units
LLAS 3021,Contemporary Latin America,3 Units
LLAS 3107,Latinx Psychology,3 Units
LLAS 3210,Contemporary Issues in Latino Studies,3 Units
LLAS 3220,History of Latinos/as in the United States,3 Units
LLAS 3230,Latina Narrative,3 Units
LLAS 3265,Literature of Puerto Rico and the Spanish Caribbean,3 Units
LLAS 3320,Media and Diverse Audiences,3 Units
LLAS 3321,Latinas and Media,3 Units
LLAS 3525,Latino Sociology,3 Units
LLAS 3619W,History of the Caribbean,3 Units
LLAS 3635,History of Modern Mexico,3 Units
LLAS 3998,Variable Topics in Latino and Latin American Studies: Anti-imperialism,3 Units
LLAS 3998,Variable Topics in Latino and Latin American Studies: Human Rights on the US/Mexican Border,3 Units
LLAS 3998,Variable Topics in Latino and Latin American Studies: Perspectives on Civilian Law,3 Units
LLAS 3998,Variable Topics in Latino and Latin American Studies: WomensHlth/Latinx&Afroamerican,3 Units
LLAS 3999,Independent Study in Latino and Latin American Studies,1-3 Units
LLAS 4212,Field Internship in Latino Studies,1-3 Units
LLAS 4994W,Latin American Studies Research Seminar,3 Units
MARN 1002E,Introduction to Oceanography,3 Units
MARN 1003E,Introduction to Oceanography with Laboratory,4 Units
MARN 1004,Oceanography Laboratory,1 Unit
MARN 2801WE,Marine Sciences and Society,3 Units
MARN 3000E,The Oceans and Global Climate,3 Units
MARN 3002,Foundations of Marine Sciences,3 Units
MARN 3812,Seminar in Marine Biodiversity and Conservation,3 Units
MARN 3899,Independent Study,1-6 Units
MARN 3995,Special Topics: Environmental Chemistry-Hydrosphere,3 Units
MARN 3996,Directed Research 2,1-6 Units
MARN 4002,Science and the Coastal Environment,3 Units
MARN 4010,Biological Oceanography,3 Units
MARN 4019,Algae and the Environment,3 Units
MARN 4050,Geological Oceanography,3 Units
MARN 4066,River Influences on the Marine Environment,3 Units
MARN 4210Q,Experimental Design in Marine Ecology,4 Units
MARN 4891,Internship in Marine Sciences,1-3 Units
MARN 4897W,Senior Research Thesis,3 Units
MAST 1200,Introduction to Maritime Culture,3 Units
MAST 3532,Archaeology of the Age of Sail,3 Units
MAST 3545,"The Modern Atlantic, 1650-1950",3 Units
MAST 3600,Global Dynamics of the Shipping Industry,3 Units
MAST 4994W,Maritime Studies Capstone Seminar,3 Units
MATH 1011Q,Introductory College Algebra and Mathematical Modeling,3 Units
MATH 1020Q,Problem Solving,3 Units
MATH 1030Q,Elementary Discrete Mathematics,3 Units
MATH 1060Q,Precalculus,3 Units
MATH 1070Q,Mathematics for Business and Economics,3 Units
MATH 1071Q,Calculus for Business and Economics,3 Units
MATH 1131Q,Calculus I,4 Units
MATH 1132Q,Calculus II,4 Units
MATH 2011Q,Fundamentals of Algebra and Geometry,3 Units
MATH 2110Q,Multivariable Calculus,4 Units
MATH 2210Q,Applied Linear Algebra,3 Units
MATH 2360Q,Geometry,3 Units
MATH 2410Q,Elementary Differential Equations,3 Units
MATH 2620,Financial Mathematics I,3 Units
MATH 2705W,Technical Writing in Mathematics,1 Unit
MATH 2710,Transition to Advanced Mathematics,3 Units
MATH 3146,Introduction to Complex Variables,3 Units
MATH 3150,Analysis I,3 Units
MATH 3151,Analysis II,3 Units
MATH 3160,Probability,3 Units
MATH 3170,Elementary Stochastic Processes,3 Units
MATH 3180,Mathematics for Machine Learning,3 Units
MATH 3210,Abstract Linear Algebra,3 Units
MATH 3230,Abstract Algebra I,3 Units
MATH 3231,Abstract Algebra II,3 Units
MATH 3240,Introduction to Number Theory,3 Units
MATH 3250,Combinatorics,3 Units
MATH 3265,Applied Mathematical Logic,3 Units
MATH 3410,Differential Equations for Applications,3 Units
MATH 3435,Partial Differential Equations,3 Units
MATH 3511,Numerical Analysis II,3 Units
MATH 3550,Programming for Actuaries,3 Units
MATH 3615,Financial Mathematics Problems,1 Unit
MATH 3620,Foundations of Actuarial Science,3 Units
MATH 3630,Long-Term Actuarial Mathematics I,4 Units
MATH 3631,Long-Term Actuarial Mathematics II,3 Units
MATH 3636,Actuarial Statistical Modeling I,3 Units
MATH 3637,Actuarial Statistical Modeling II,3 Units
MATH 3639,Actuarial Loss Models,3 Units
MATH 3640,Short-Term Insurance Ratemaking,3 Units
MATH 3641,Short-Term Insurance Reserving,3 Units
MATH 3650,Financial Mathematics II,3 Units
MATH 3660,Advanced Financial Mathematics,3 Units
MATH 3670W,Technical Writing for Actuaries,3 Units
MATH 3710,Introduction to Mathematical Modeling,3 Units
MATH 3790,Field Study Internship,1-3 Units
MATH 3796W,Senior Thesis in Mathematics,3 Units
MATH 3799,Independent Study,1-6 Units
MATH 3899,Independent Study: Actuarial Case Study Competition,1-3 Units
MCB 1201,Virus Hunting: Applied Bioinformatics,4 Units
MCB 2000,Introduction to Biochemistry,4 Units
MCB 2210,Cell Biology,3 Units
MCB 2225,Cell Biology Laboratory,4 Units
MCB 2400,Human Genetics,3 Units
MCB 2410,Genetics,3 Units
MCB 2610,Fundamentals of Microbiology,4 Units
MCB 3004,Biophysical Chemistry II,3 Units
MCB 3022W,Human Disease and the Development of Therapeutic Agents,3 Units
MCB 3100,Introduction to Translational Research,3 Units
MCB 3189,Clinical Research Laboratory,3 Units
MCB 3201,Gene Expression,3 Units
MCB 3211,Cancer Cell Biology and Genetics,3 Units
MCB 3219,Developmental and Regenerative Biology,3 Units
MCB 3246,Virology,3 Units
MCB 3400,Human Evolutionary Genomics,3 Units
MCB 3412,Genetic Engineering and Functional Genomics,3 Units
MCB 3413,Concepts of Genetic Analysis,4 Units
MCB 3417,The Molecular Genetics of Inherited Human Disease,2 Units
MCB 3841W,Research Literature in Molecular and Cell Biology: Anti-Aging Therapeutics,3 Units
MCB 3841W,Research Literature in Molecular and Cell Biology: Molecular Evol of Infect Dis,3 Units
MCB 3843W,Research Literature in Comparative Genomics,3 Units
MCB 3844W,Microbiology and the Media,3 Units
MCB 3849W,Symbiosis: The Science of Living Together,3 Units
MCB 3895,Special Topics: Effective Presentation of Topics in MCB,2 Units
MCB 3899,Independent Study,1-6 Units
MCB 3899,Independent Study: Laboratory Assistants,1-6 Units
MCB 3899,Independent Study: Learning Support,1-6 Units
MCB 4008,Techniques of Biophysical Chemistry,3 Units
MCB 4009,Structure and Function of Biological Macromolecules,3 Units
MCB 4624,Experiments in Bacterial Genetics,3 Units
MCB 4896,Undergraduate Research,1-6 Units
MCB 4897W,Senior Research Thesis,3 Units
MCB 4996,Honors Undergraduate Research,1-6 Units
MCB 4997W,Senior Honors Research Thesis,3 Units
ME 2120,Applied Mechanics II,3 Units
ME 2233,Thermodynamic Principles,3 Units
ME 2234,Applied Thermodynamics,3 Units
ME 3161,Introduction to Robotics,3 Units
ME 3163,Robot Control and Dynamics,3 Units
ME 3220,Mechanical Vibrations,3 Units
ME 3221,Manufacturing Automation,3 Units
ME 3227,Design of Machine Elements,3 Units
ME 3242,Heat Transfer,3 Units
ME 3253,Linear Systems Theory,3 Units
ME 3255,Computational Mechanics,3 Units
ME 3256W,Data-Driven Decisions and Technical Communications,3 Units
ME 3264,Applied Measurements Laboratory,3 Units
ME 3276,Propulsion,3 Units
ME 3295,Special Topics in Mechanical Engineering: Aerodynamics,3 Units
ME 3295,Special Topics in Mechanical Engineering: Aerospace Control Systems,3 Units
ME 3295,Special Topics in Mechanical Engineering: Fundaments of Environmentally Sustainable Aviation,3 Units
ME 3295,Special Topics in Mechanical Engineering: Intro to Products & Processes,3 Units
ME 3295,Special Topics in Mechanical Engineering: Introduction to Composite Manufacturing Processes,3 Units
ME 3295,Special Topics in Mechanical Engineering: Radiation Heat Transfer,3 Units
ME 3295,Special Topics in Mechanical Engineering: Six Sigma Green Belt/Minitab,3 Units
ME 3295,Special Topics in Mechanical Engineering: Soft Robotics,3 Units
ME 3295,Special Topics in Mechanical Engineering: Structural Dynamics,3 Units
ME 3295,Special Topics in Mechanical Engineering: Topology Optimization,3 Units
ME 3296,Independent Research in Mechanical Engineering,1-4 Units
ME 3299,Problems in Mechanical Engineering,1-4 Units
ME 3396,Honors Research,1-4 Units
ME 4973W,Senior Design Project II,3 Units
MEM 1151,Introduction to the Management and Engineering for Manufacturing Program,3 Units
MEM 2211,Introduction to Manufacturing Systems,3 Units
MEM 2213,Introduction to Manufacturing Systems Lab,3 Units
MEM 3221,Introduction to Products and Processes,3 Units
MEM 3231,Computers in Manufacturing,3 Units
MEM 3281,Manufacturing Internship,0 Units
MEM 3295,Special Topics in Management and Engineering for Manufacturing: Intro to bio manuf:pharm prote,3 Units
MEM 3295,Special Topics in Management and Engineering for Manufacturing: Robotics in Manufacturing,3 Units
MEM 3295,Special Topics in Management and Engineering for Manufacturing: Six Sigma Green Belt/Minitab,3 Units
MEM 3299,Problems in Management and Engineering for Manufacturing,1-4 Units
MEM 4296,Honors Research,1-6 Units
MEM 4972W,Senior Design Project II,2 Units
MENT 2234,The Entrepreneurial Journey,3 Units
MENT 3101,Managerial and Interpersonal Behavior,3 Units
MENT 3225,International Business,3 Units
MENT 3234,"Opportunity Generation, Assessment, and Promotion",3 Units
MENT 3235,"Venture Planning, Management, and Growth",3 Units
MENT 3236,Managerial Negotiations,3 Units
MENT 3238,Leading Teams and Organizations,3 Units
MENT 3239,Managing a Diverse Workforce,3 Units
MENT 3501,Technology Innovation and Entrepreneurship II,3 Units
MENT 3741,Foundations of Venture Capital,3 Units
MENT 3742,Venture Investment Sourcing and Analysis,3 Units
MENT 4741,Advanced Venture Investing,3 Units
MENT 4742,Leading a Venture Fund,3 Units
MENT 4895,Special Topics: Advanced ECommerce Entrepreneurship,3 Units
MENT 4895,Special Topics: Agile Innovation in STEM Entrepreneurship,2 Units
MENT 4895,Special Topics: Hillside Private Capital,3 Units
MENT 4899,Independent Study,1-6 Units
MENT 4900,Strategic Management,3 Units
MENT 4902,Strategic Management,3 Units
MENT 4997,Senior Thesis in Management,1-3 Units
MGRK 1102,Elementary Modern Greek II,4 Units
MGRK 1104,Intermediate Modern Greek II,4 Units
MGRK 3295,Special Topics: Language&Culture of Byzantium,3 Units
MGRK 3299,Independent Study,1-6 Units
MISI 1102,General Military Science Ib,1 Unit
MISI 2202,General Military Science IIb,1 Unit
MISI 3302,General Military Science III,3 Units
MISI 4402,General Military Science IV,3 Units
MKTG 2237,Personal Brand Management,3 Units
MKTG 3101,Introduction to Marketing Management,3 Units
MKTG 3208,Consumer Behavior,3 Units
MKTG 3252,Business and Human Rights,3 Units
MKTG 3254,Social Responsibility and Accountability in Business,3 Units
MKTG 3255,Global Issues in Marketing for Social Impact,3 Units
MKTG 3258,Marketing Strategy for Environmental and Social Impact,3 Units
MKTG 3260,Marketing Research,3 Units
MKTG 3452,Professional Selling,3 Units
MKTG 3454,Sales Management and Leadership,3 Units
MKTG 3661,Marketing and Digital Analytics,3 Units
MKTG 3665,Digital Marketing,3 Units
MKTG 3757,Strategic Brand Management,3 Units
MKTG 4362,Marketing Planning and Strategy,3 Units
MLSC 3301,Fundamentals of Medical Laboratory Sciences,3 Units
MLSC 3333,"Mycology, Parasitology and Virology",3 Units
MLSC 4099,Independent Study for Undergraduates,1-6 Units
MLSC 4302,Clinical Chemistry Laboratory,3 Units
MLSC 4312,Hematology Laboratory,3 Units
MLSC 4322,Clinical Immunology Laboratory,1 Unit
MLSC 4342,Clinical Microbiology Laboratory,4 Units
MLSC 4352,Transfusion Services Laboratory,3 Units
MLSC 4372,Urinalysis Laboratory,1 Unit
MLSC 4500,Laboratory Operations and Professional Practice,2 Units
MSE 2002,"Introduction to Structure, Properties, and Processing of Materials II",3 Units
MSE 2053,Materials Characterization and Processing Laboratory,2 Units
MSE 2101,Materials Science and Engineering I,3 Units
MSE 3002,Transport Phenomena in Materials Processing,3 Units
MSE 3004,Mechanical Behavior of Materials,3 Units
MSE 3056,Mechanical Behavior Laboratory,2 Units
MSE 3156,Polymeric Materials,3 Units
MSE 3700,Biomaterials,3 Units
MSE 4034,Corrosion and Materials Protection,3 Units
MSE 4038,Alloy Casting Processes,3 Units
MSE 4040,Materials Selection in Mechanical Design,3 Units
MSE 4095,Special Topics in Materials Science and Engineering: ClassicalAtom-LevelSimulation,3 Units
MSE 4095,Special Topics in Materials Science and Engineering: Materials Science of Additive Manufacturing,3 Units
MSE 4097,Undergraduate Research in Materials Science and Engineering,1-3 Units
MSE 4902W,Capstone Design Project II,3 Units
MSE 4996,Thesis Research in Materials Science and Engineering,1-3 Units
MUSI 1001,Music Appreciation,3 Units
MUSI 1003,Popular Music and Diversity in American Society,3 Units
MUSI 1004,Non-Western Music,3 Units
MUSI 1006,Earthtones: Vocal Ensemble,1 Unit
MUSI 1011,Music Fundamentals and Ear Training I,3 Units
MUSI 1012,Music Fundamentals and Ear Training II,3 Units
MUSI 1101,"Convocation, Concert and Recital Repertoire",0 Units
MUSI 1109,Varsity Band,1 Unit
MUSI 1110,Band: Concert Band,1 Unit
MUSI 1110,Band: Symphonic Band,1 Unit
MUSI 1110,Band: Wind Ensemble,1 Unit
MUSI 1111,Chorus: Chamber Choir for non-majors,1 Unit
MUSI 1111,Chorus: Chamber Singers and Voices of Freedom,1 Unit
MUSI 1111,Chorus: Collegium Singers and Concert Choir,1 Unit
MUSI 1111,Chorus: Collegium Singers and Voices of Freedom,1 Unit
MUSI 1111,Chorus: Collegium Singers for Non-Majors,1 Unit
MUSI 1111,Chorus: Concert Choir for Non-Majors,1 Unit
MUSI 1111,Chorus: Concert Choir&Chamber Singers,1 Unit
MUSI 1111,Chorus: Festival Chorus,1 Unit
MUSI 1111,Chorus: Glee Club,1 Unit
MUSI 1111,Chorus: Glee Club and Voices of Freedom,1 Unit
MUSI 1111,Chorus: UConn Glee Club & Concert Choir,1 Unit
MUSI 1111,Chorus: UConntabile,1 Unit
MUSI 1111,Chorus: UConntabile & Concert Choir,1 Unit
MUSI 1111,Chorus: UConntabile and Voices of Freedom,1 Unit
MUSI 1112,University Symphony Orchestra: Orchestra,1 Unit
MUSI 1113,Chamber Ensemble,1 Unit
MUSI 1114,Voices of Freedom Gospel Choir,1 Unit
MUSI 1115,Jazz Ensembles: Jazz Ensemble,1 Unit
MUSI 1115,Jazz Ensembles: Jazz Lab Band,1 Unit
MUSI 1116,Small Ensemble: Opera Orchestra,1 Unit
MUSI 1116,Small Ensemble: Percussion Ensemble,1 Unit
MUSI 1116,Small Ensemble: Trombone Choir,1 Unit
MUSI 1118,Collegium Musicum,1 Unit
MUSI 1119,Opera Workshop: Opera Studio,1 Unit
MUSI 1119,Opera Workshop: Opera Theater,1 Unit
MUSI 1119,Opera Workshop: Stage Skills for Singers,1 Unit
MUSI 1120,Jazz Combos,1 Unit
MUSI 1221,Secondary Applied Music: Cello,1 Unit
MUSI 1221,Secondary Applied Music: Horn,1 Unit
MUSI 1221,Secondary Applied Music: Jazz Piano,1 Unit
MUSI 1221,Secondary Applied Music: Jazz Saxophone,1 Unit
MUSI 1221,Secondary Applied Music: Organ,1 Unit
MUSI 1221,Secondary Applied Music: Percussion,1 Unit
MUSI 1221,Secondary Applied Music: Piano,1 Unit
MUSI 1221,Secondary Applied Music: String Bass,1 Unit
MUSI 1221,Secondary Applied Music: Trumpet,1 Unit
MUSI 1221,Secondary Applied Music: Tuba,1 Unit
MUSI 1221,Secondary Applied Music: Viola,1 Unit
MUSI 1221,Secondary Applied Music: Violin,1 Unit
MUSI 1221,Secondary Applied Music: Voice,1 Unit
MUSI 1222,Applied Music: Bassoon,1-3 Units
MUSI 1222,Applied Music: Cello,1-3 Units
MUSI 1222,Applied Music: Clarinet,1-3 Units
MUSI 1222,Applied Music: Euphonium,1-3 Units
MUSI 1222,Applied Music: Flute,1-3 Units
MUSI 1222,Applied Music: Guitar,1-3 Units
MUSI 1222,Applied Music: Harp,1-3 Units
MUSI 1222,Applied Music: Horn,1-3 Units
MUSI 1222,Applied Music: Jazz Drum,1-3 Units
MUSI 1222,Applied Music: Jazz Piano,1-3 Units
MUSI 1222,Applied Music: Jazz Saxophone,1-3 Units
MUSI 1222,Applied Music: Jazz Trombone,1-3 Units
MUSI 1222,Applied Music: Jazz Voice,1-3 Units
MUSI 1222,Applied Music: Oboe,1-3 Units
MUSI 1222,Applied Music: Organ,1-3 Units
MUSI 1222,Applied Music: Percussion,1-3 Units
MUSI 1222,Applied Music: Piano,1-3 Units
MUSI 1222,Applied Music: Saxophone,1-3 Units
MUSI 1222,Applied Music: String Bass,1-3 Units
MUSI 1222,Applied Music: Trombone,1-3 Units
MUSI 1222,Applied Music: Trumpet,1-3 Units
MUSI 1222,Applied Music: Tuba,1-3 Units
MUSI 1222,Applied Music: Viola,1-3 Units
MUSI 1222,Applied Music: Violin,1-3 Units
MUSI 1222,Applied Music: Voice,1-3 Units
MUSI 1231,Class Instruction in Piano: Level 2,1 Unit
MUSI 1231,Class Instruction in Piano: Level 4,1 Unit
MUSI 1241,Applied Accompanying: Accompanying,1 Unit
MUSI 1252,Italian Diction for Singers,1 Unit
MUSI 1312,Ear Training and Musicianship II,1 Unit
MUSI 1314,Harmony II,3 Units
MUSI 1501,Applied Music Techniques: Applied Brass Techniques,1 Unit
MUSI 1501,Applied Music Techniques: Percussion,1 Unit
MUSI 1501,Applied Music Techniques: Strings,1 Unit
MUSI 1501,Applied Music Techniques: Voice,1 Unit
MUSI 1501,Applied Music Techniques: Woodwinds,1 Unit
MUSI 1995,Special Topics Lecture: Compositions Projects,1 Unit
MUSI 2254,French Diction for Singers,1 Unit
MUSI 3222,"Applied Music, Advanced Course",1-3 Units
MUSI 3222,"Applied Music, Advanced Course: Cello",1-3 Units
MUSI 3222,"Applied Music, Advanced Course: Clarinet",1-3 Units
MUSI 3222,"Applied Music, Advanced Course: Euphonium",1-3 Units
MUSI 3222,"Applied Music, Advanced Course: Flute",1-3 Units
MUSI 3222,"Applied Music, Advanced Course: Guitar",1-3 Units
MUSI 3222,"Applied Music, Advanced Course: Harp",1-3 Units
MUSI 3222,"Applied Music, Advanced Course: Horn",1-3 Units
MUSI 3222,"Applied Music, Advanced Course: Jazz Drumming",1-3 Units
MUSI 3222,"Applied Music, Advanced Course: Jazz Saxophone",1-3 Units
MUSI 3222,"Applied Music, Advanced Course: Oboe",1-3 Units
MUSI 3222,"Applied Music, Advanced Course: Organ",1-3 Units
MUSI 3222,"Applied Music, Advanced Course: Percussion",1-3 Units
MUSI 3222,"Applied Music, Advanced Course: Piano",1-3 Units
