Course_Code,Course_Title,Course_Credit
CHIN 1121,Traditional Chinese Culture,3 Units
CHIN 1122,Modern Chinese Culture,3 Units
CHIN 3211,Chinese Composition and Conversation II,3 Units
CHIN 3230,Language and Identity in Greater China,3 Units
CHIN 3250W,Advanced Chinese,3 Units
CHIN 3282,Women in Chinese Literature and Film,3 Units
CHIN 3295,Special Topics: STARTALK Teaching,1 Unit
CHIN 3299,Independent Study,1-6 Units
CLCS 1102,Classics of World Literature II,3 Units
CLCS 1110,Introduction to Film Studies,3 Units
CLCS 2201,Intercultural Competency Towards Global Perspectives,3 Units
CLCS 2204,Jewish Culture in American Film,3 Units
COGS 2201,Foundations of Cognitive Science,3 Units
COGS 2345,Language and Racism,3 Units
COGS 3584,Seminar in Cognitive Science,1 Unit
COGS 3589,Undergraduate Research,1-6 Units
COGS 3599,Independent Study,3 Units
COGS 4596W,Senior Thesis in Cognitive Science,3 Units
COMM 1000,The Process of Communication,3 Units
COMM 1100,Principles of Public Speaking,3 Units
COMM 2000Q,Research Methods in Communication,3 Units
COMM 2010Q,Applied Communication Research Methods,3 Units
COMM 2100,Professional Communication,3 Units
COMM 2110,Presenting in the Digital World,3 Units
COMM 2200,Interpersonal Communication,3 Units
COMM 2300,Effects of Mass Media,3 Units
COMM 2500,Persuasion,3 Units
COMM 2600,Media in the Information Age,3 Units
COMM 2700,Fundamentals of Digital Production,3 Units
COMM 3110,Organizational Communication,3 Units
COMM 3210,Gender and Communication,3 Units
COMM 3222W,People of Color and Interpersonal Communication,3 Units
COMM 3240,Nonverbal Communication,3 Units
COMM 3310W,Media Literacy and Criticism,3 Units
COMM 3320,Media and Diverse Audiences,3 Units
COMM 3321,Latinas and Media,3 Units
COMM 3410,Political Communication,3 Units
COMM 3420,Health Communication,3 Units
COMM 3420W,Health Communication,3 Units
COMM 3430W,Science Communication,3 Units
COMM 3520,Communication Processes in Advertising,3 Units
COMM 3530,Public Relations,3 Units
COMM 3600,New Communication Technologies,3 Units
COMM 3600W,New Communication Technologies,3 Units
COMM 3610,Computer Mediated Communication,3 Units
COMM 3610W,Computer Mediated Communication,3 Units
COMM 4530W,Public Relations Writing,3 Units
COMM 4540,Crisis Communication,3 Units
COMM 4640,Social Media: Research and Practice,3 Units
COMM 4799,Independent Study in Multimedia Production,1-6 Units
COMM 4979,Digital Portfolio,1-3 Units
COMM 4981,Internship in Communication,1-3 Units
COMM 4982,Research Practicum in Communication,1-3 Units
COMM 4997W,Senior Thesis,1-6 Units
COMM 4999,Independent Study,1-6 Units
CSE 1010,Introduction to Computing for Engineers,3 Units
CSE 2050,Data Structures and Object-Oriented Design,3 Units
CSE 2102,Introduction to Software Engineering,3 Units
CSE 2301,Principles and Practice of Digital Logic Design,4 Units
CSE 2500,Introduction to Discrete Systems,3 Units
CSE 2600,Introduction to Data Science and Engineering,3 Units
CSE 3000,Contemporary Issues in Computer Science and Engineering,1 Unit
CSE 3100,Systems Programming,3 Units
CSE 3140,Cybersecurity Lab,2 Units
CSE 3150,C++ Essentials,3 Units
CSE 3160,Functional Programming Fundamentals,3 Units
CSE 3200,Mobile Application Development,3 Units
CSE 3250,Introduction to Cloud Computing,3 Units
CSE 3300,Computer Networks and Data Communication,3 Units
CSE 3400,Introduction to Computer and Network Security,3 Units
CSE 3500,Algorithms and Complexity,3 Units
CSE 3502,Theory of Computation,3 Units
CSE 3504,Probabilistic Performance Analysis of Computer Systems: Probabilistic performance analysis,3 Units
CSE 3666,Introduction to Computer Architecture,3 Units
CSE 4095,Special Topics in Computer Science and Engineering: Deep Learning,3 Units
CSE 4095,Special Topics in Computer Science and Engineering: Sentiment Analysis,1 Unit
CSE 4099,Independent Study in Computer Science and Engineering,1-4 Units
CSE 4102,Programming Languages,3 Units
CSE 4300,Operating Systems,3 Units
CSE 4400,Computer Security,3 Units
CSE 4412,"Introduction to Quantum Computing, Cryptography, and Networking",3 Units
CSE 4502,Big Data Analytics,3 Units
CSE 4701,Principles of Databases,3 Units
CSE 4705,Artificial Intelligence,3 Units
CSE 4820,Introduction to Machine Learning,3 Units
CSE 4830,Computer Vision and Machine Learning for Image Analysis,3 Units
CSE 4940,Computer Science and Engineering Design Project II,3 Units
CSE 4997,Senior Thesis in Computer Science and Engineering,3 Units
DGS 3999,Independent Study for Undergraduates,1-6 Units
DGS 4234,Diagnostic Molecular Technologies,3 Units
DGS 4234W,Diagnostic Molecular Technologies,3 Units
DGS 4235,Laboratory in Molecular Diagnostics,2 Units
DGS 4402,"Specimen Preparation, Nucleic Acid Isolation and Assessment",4 Units
DGS 4503,Amplification Methods,6 Units
DGS 4510,In Situ Hybridization Methods,2 Units
DGS 4512,Cloning Techniques,2 Units
DGS 4513,Blotting Applications,2 Units
DGS 4515,Microbiological Applications of Molecular Diagnostics,2 Units
DGS 4604,Sequencing Techniques and Data Analysis,3 Units
DGS 4850,Investigative Topics in Laboratory Genetics,1 Unit
DGS 4997,Honors Research,3 Units
DIET 3099,Independent Study for Undergraduates,1-6 Units
DIET 3215,Food Service Management Practicum I,1 Unit
DIET 3230,Community Nutrition,3 Units
DIET 3231W,Writing for Community Nutrition Research,2 Units
DIET 3235,Community Nutrition Practicum I,1 Unit
DIET 3250,Medical Nutrition Therapy II,3 Units
DIET 3255,Clinical Dietetics Practicum II,1 Unit
DIET 3272,Food Service Systems Management I,2 Units
DIET 3296,Applied Research for Dietetic Professionals,1-3 Units
DIET 4370,Advanced Nutrition for the Dietetics Practitioner,3 Units
DIET 4415,Food Service Management Practicum II,3 Units
DIET 4435,Community Nutrition Practicum II,3 Units
DIET 4455,Clinical Dietetics Practicum III,4 Units
DIET 4470,Seminar in Dietetics,2 Units
DMD 1002,Foundations in Digital Media and Design II,3 Units
DMD 1060,"Fundamentals of Programming for Game, Web, and Interactive Media Design",3 Units
DMD 1101,Design Lab I,3 Units
DMD 1102,Design Lab II,3 Units
DMD 2010,History of Digital Culture,3 Units
DMD 2200,Motion Design and Animation I,3 Units
DMD 2210,Film and Video Editing I,3 Units
DMD 2230,3D Motion I,3 Units
DMD 2300,3D Animation I,3 Units
DMD 2500,Introduction to Digital Game Design,3 Units
DMD 2542,Introduction to Game Scripting,3 Units
DMD 2550,Game Production,3 Units
DMD 2580,2D Game Art,3 Units
DMD 2710,Social Media Business Applications,3 Units
DMD 2810,Digital Cinematography I,3 Units
DMD 3010W,Critical Perspectives on Digital Media,3 Units
DMD 3030,Narrative Workshop,3 Units
DMD 3035,Interaction Design,3 Units
DMD 3099,Independent Study,1-6 Units
DMD 3200,Motion Design and Animation II,3 Units
DMD 3205,History of Animation,3 Units
DMD 3240,Animating Science,3 Units
DMD 3300,3D Animation II,3 Units
