Undergrad_Course_Title,Credit
BIO 393 - Introduction to Bioinformatics,4 credit(s).
BIO 396 - Synthetic Biology: Engineering Life,4 credit(s).
BIO 398 - Special Topics in Biology,3 or 4 credit(s).
BIO 399 - Mammalian Biology,4 credit(s).
BIO 401 - Comparative Physiology,4 credit(s).
BIO 405 - Marine Mammal Physiology,3 credit(s).
BIO 420 - Plant Physiology,4 credit(s).
BIO 429 - Limnology,4 credit(s).
BIO 430 - Marine Ecology,4 credit(s).
BIO 435 - Developmental Biology,4 credit(s).
BIO 436 - Molecular Biology,4 credit(s).
BIO 440 - Parasitic Infections,3 credit(s).
BIO 450 - Undergraduate Research Methods in Biology,3 credit(s).
BIO 451 - Tissue Culture,4 credit(s).
BIO 454 - Brain – Anatomy and Transmission,4 credit(s).
BIO 460 - Paleontology,4 credit(s).
BIO 467 - Laboratory Course in Biotechnology,4 credit(s).
BIO 491 - Seminar in Biotechnology,1 credit(s).
BIO 497 - In-Service Training in Biology,3 credit(s).
BIO 499 - Independent Study and Research,1 to 6 credit(s).
BIS 370 - Business Information Systems,3 credit(s).
BIS 371 - Information System Analysis and Design Techniques,3 credit(s).
BIS 372 - Database Management,3 credit(s).
BIS 375 - Decision Support Systems,3 credit(s).
BIS 380 - Cloud Computing for Business,3 credit(s).
BIS 385 - Design and Administration of Business Messaging Systems,3 credit(s).
BIS 390 - GetVirtual,3 credit(s).
BIS 398 - Special Topics in Business Information Systems,3 credit(s).
BIS 400 - Global Information Systems,3 credit(s).
BIS 410 - AI for Business Systems,3 credit(s).
BIS 415 - Technology for Real Estate Professionals,3 credit(s).
BIS 422 - Supply Chain Automation and Logistics,3 credit(s).
BIS 430 - Project Management,3 credit(s).
BIS 460 - Information Security Management,3 credit(s).
BIS 470 - Business Information Systems Design,3 credit(s).
BIS 497 - Internship,3 credit(s).
BIS 498 - Advanced Special Topics in Business Information Systems,3 credit(s).
BUS 300 - Practical Business Work Experience and Education,6 credit(s).
BUS 398 - Special Topics in Business Administration,3 credit(s).
"BUS 400 - Practical Business Work Experience, Education and",6 credit(s).
BUS 430 - Business Development & Planning,3 credit(s).
BUS 497 - Interdisciplinary Business Internship,3 credit(s).
BUS 498 - Special Topics in Business Administration,3 credit(s).
CHE 103 - Crime Scene Chemistry,4 credit(s).
CHE 108 - Culinary Chemistry,3 credit(s).
CHE 120 - General Chemistry I,4 credit(s).
CHE 121 - General Chemistry II,4 credit(s).
"CHE 125 - Introduction to General, Organic and Biochemistry",4 credit(s).
CHE 240 - Analytical Chemistry,4 credit(s).
CHE 260 - Organic Chemistry I,4 credit(s).
CHE 261 - Organic Chemistry II,4 credit(s).
CHE 264 - Organic Chemistry I: Lab Only,1 credit(s).
CHE 290 - Introduction to Chemistry Research,3 credit(s).
CHE 301 - Preparation of Scientific Documents,1 credit(s).
CHE 340 - Environmental Chemistry,3 credit(s).
CHE 370 - Physical Chemistry I,3 credit(s).
CHE 371 - Physical Chemistry II,3 credit(s).
CHE 372 - Physical Chemistry Laboratory I,1 credit(s).
CHE 376 - Biophysical Chemistry,3 credit(s).
CHE 411 - Chemical Education,3 credit(s).
CHE 421 - Computational Chemistry,3 credit(s).
CHE 435 - Inorganic Chemistry I,3 credit(s).
CHE 436 - Inorganic Chemistry Lab,1 credit(s).
