Course_Code,CRN,Source_DB
CSE 3200,crn:6045,1253
CSE 3250,crn:6054,1253
CSE 3300,crn:5882,1253
CSE 3400,crn:6019,1253
CSE 3500,crn:5883,1253
CSE 3502,crn:5881,1253
CSE 3504,crn:5794,1253
CSE 3666,crn:5892,1253
CSE 4095,crn:5889,1253
CSE 4095,crn:12236,1253
CSE 4099,crn:5802,1253
CSE 4102,crn:5880,1253
CSE 4300,crn:5800,1253
CSE 4400,crn:6020,1253
CSE 4412,crn:6048,1253
CSE 4502,crn:6021,1253
CSE 4701,crn:5799,1253
CSE 4705,crn:5801,1253
CSE 4820,crn:6037,1253
CSE 4830,crn:6053,1253
CSE 4940,crn:5930,1253
CSE 4997,crn:5962,1253
DGS 3999,crn:11644,1253
DGS 4234,crn:11646,1253
DGS 4234W,crn:11650,1253
DGS 4235,crn:11639,1253
DGS 4402,crn:11654,1253
DGS 4503,crn:11641,1253
DGS 4510,crn:11642,1253
DGS 4512,crn:11648,1253
DGS 4513,crn:11649,1253
DGS 4515,crn:11643,1253
DGS 4604,crn:11653,1253
DGS 4850,crn:11652,1253
DGS 4997,crn:11647,1253
DIET 3099,crn:11601,1253
DIET 3215,crn:11610,1253
DIET 3230,crn:11615,1253
DIET 3231W,crn:11614,1253
DIET 3235,crn:11609,1253
DIET 3250,crn:11606,1253
DIET 3255,crn:11607,1253
DIET 3272,crn:11613,1253
DIET 3296,crn:11617,1253
DIET 4370,crn:11604,1253
DIET 4415,crn:11605,1253
DIET 4435,crn:11611,1253
DIET 4455,crn:11612,1253
DIET 4470,crn:11600,1253
DMD 1002,crn:8929,1253
DMD 1060,crn:8927,1253
DMD 1101,crn:3023,1253
DMD 1102,crn:8938,1253
DMD 2010,crn:8861,1253
DMD 2200,crn:8849,1253
DMD 2210,crn:3025,1253
DMD 2230,crn:8944,1253
DMD 2300,crn:8850,1253
DMD 2500,crn:2704,1253
DMD 2542,crn:8884,1253
DMD 2550,crn:8885,1253
DMD 2580,crn:8961,1253
DMD 2710,crn:8877,1253
DMD 2810,crn:8946,1253
DMD 3010W,crn:8880,1253
DMD 3030,crn:8851,1253
DMD 3035,crn:8886,1253
DMD 3099,crn:14733,1253
DMD 3200,crn:8854,1253
DMD 3205,crn:8856,1253
DMD 3240,crn:8920,1253
DMD 3300,crn:8858,1253
DMD 3310,crn:8859,1253
DMD 3470,crn:8887,1253
DMD 3475,crn:8921,1253
DMD 3500,crn:8867,1253
DMD 3570,crn:8865,1253
DMD 3582,crn:8960,1253
DMD 3641,crn:8958,1253
DMD 3730,crn:8891,1253
DMD 3750,crn:8967,1253
DMD 3820,crn:8953,1253
DMD 3840,crn:8956,1253
DMD 3850,crn:8949,1253
DMD 3998,crn:8893,1253
DMD 3998,crn:8894,1253
DMD 3998,crn:8892,1253
DMD 3998,crn:8895,1253
DMD 4025,crn:8901,1253
DMD 4040,crn:8866,1253
DMD 4045,crn:8925,1253
DMD 4075,crn:8897,1253
DMD 4081,crn:8869,1253
DMD 4086,crn:8900,1253
DMD 4310,crn:8860,1253
DMD 4350,crn:8924,1253
DMD 4500,crn:8862,1253
DMD 4536,crn:12950,1253
DMD 4725,crn:8952,1253
DMD 4835,crn:8957,1253
DMD 4860,crn:8968,1253
DRAM 1101,crn:7903,1253
DRAM 1110,crn:12491,1253
DRAM 1202,crn:7984,1253
DRAM 1209,crn:7987,1253
DRAM 1217,crn:8032,1253
DRAM 1218,crn:8033,1253
DRAM 1282,crn:7985,1253
DRAM 1702,crn:7906,1253
DRAM 1710,crn:7988,1253
DRAM 1802,crn:7907,1253
DRAM 1902,crn:7989,1253
DRAM 2120,crn:8050,1253
DRAM 2131,crn:7904,1253
DRAM 2702,crn:7983,1253
DRAM 2812,crn:7990,1253
DRAM 2902,crn:7991,1253
DRAM 3103,crn:7910,1253
DRAM 3130,crn:7912,1253
DRAM 3139,crn:8029,1253
DRAM 3141W,crn:13278,1253
DRAM 3182,crn:7914,1253
DRAM 3194,crn:8042,1253
DRAM 3199,crn:7926,1253
DRAM 3201,crn:7908,1253
DRAM 3219,crn:8044,1253
DRAM 3402,crn:12893,1253
DRAM 3604,crn:7924,1253
DRAM 3608,crn:8048,1253
DRAM 3995,crn:8037,1253
DRAM 3995,crn:8036,1253
DRAM 4194,crn:7925,1253
DRAM 4704,crn:7923,1253
DRAM 4705,crn:7913,1253
DRAM 4901,crn:8045,1253
DRAM 4911,crn:7911,1253
DRAM 4931,crn:7921,1253
DSDA 1995,crn:13223,1253
DSDA 4815,crn:13222,1253
ECE 1401,crn:7891,1253
ECE 2001,crn:7865,1253
ECE 3001,crn:7750,1253
ECE 3101,crn:7746,1253
ECE 3111,crn:7752,1253
ECE 3161,crn:7888,1253
ECE 3163,crn:7901,1253
ECE 3201,crn:7847,1253
ECE 3211,crn:7851,1253
ECE 3221,crn:7751,1253
ECE 3225,crn:7860,1253
ECE 3401,crn:7846,1253
ECE 3411,crn:7783,1253
ECE 3421,crn:7756,1253
ECE 4079,crn:7759,1253
ECE 4096,crn:13943,1253
ECE 4097,crn:13172,1253
ECE 4099,crn:7789,1253
ECE 4111,crn:7842,1253
ECE 4122,crn:7785,1253
ECE 4131,crn:7766,1253
ECE 4132,crn:7845,1253
ECE 4141,crn:7856,1253
ECE 4161,crn:7902,1253
ECE 4211,crn:7843,1253
ECE 4244,crn:7857,1253
ECE 4550,crn:7890,1253
ECE 4900W,crn:7895,1253
ECE 4902,crn:7787,1253
ECON 1000,crn:2612,1253
ECON 1108,crn:9975,1253
ECON 1201,crn:9938,1253
ECON 1202,crn:9934,1253
ECON 2101,crn:9941,1253
ECON 2101W,crn:12080,1253
ECON 2102,crn:9942,1253
ECON 2120,crn:10010,1253
ECON 2201,crn:9950,1253
ECON 2202,crn:9952,1253
ECON 2211Q,crn:9998,1253
ECON 2212Q,crn:10000,1253
ECON 2301Q,crn:9948,1253
ECON 2311Q,crn:9943,1253
ECON 2312Q,crn:10002,1253
ECON 2326,crn:9949,1253
ECON 2411,crn:9955,1253
ECON 2440,crn:12299,1253
ECON 2441,crn:9959,1253
ECON 2447,crn:9996,1253
ECON 2451,crn:10018,1253
ECON 2456,crn:12702,1253
ECON 2481,crn:9974,1253
ECON 2491,crn:12087,1253
ECON 2491W,crn:9976,1253
ECON 2499,crn:9982,1253
ECON 2500W,crn:9984,1253
ECON 3103,crn:10009,1253
ECON 3208,crn:9993,1253
ECON 3315,crn:10005,1253
ECON 3317,crn:10023,1253
ECON 3321,crn:10020,1253
ECON 3322,crn:10021,1253
ECON 3413,crn:12337,1253
ECON 3422,crn:9956,1253
ECON 3461,crn:9957,1253
ECON 3466E,crn:9995,1253
ECON 3468,crn:9958,1253
ECON 3473,crn:12085,1253
ECON 3492,crn:12344,1253
ECON 3495,crn:9963,1253
ECON 3499,crn:9964,1253
ECON 4323,crn:10011,1253
ECON 4494W,crn:9962,1253
ECON 4497W,crn:9960,1253
EDCI 1100,crn:2933,1253
EDCI 2100,crn:10193,1253
EDCI 3211,crn:10195,1253
EDCI 3212,crn:10196,1253
EDCI 3213,crn:10197,1253
EDCI 3214,crn:10198,1253
EDCI 3215,crn:10199,1253
EDCI 3305,crn:10114,1253
EDCI 4010,crn:10115,1253
EDCI 4010,crn:10116,1253
EDCI 4088,crn:10124,1253
EDCI 4099,crn:14183,1253
EDCI 4110W,crn:10152,1253
EDCI 4150,crn:10117,1253
EDCI 4250,crn:10120,1253
EDCI 4250,crn:10118,1253
EDCI 4250,crn:10122,1253
EDCI 4250,crn:10119,1253
EDCI 4250,crn:10121,1253
EDCI 4250,crn:10123,1253
EDLR 1161,crn:11016,1253
EDLR 1162,crn:13030,1253
EDLR 2001,crn:2980,1253
EDLR 3090,crn:11015,1253
EDLR 3091,crn:11022,1253
EDLR 3298,crn:13837,1253
EDLR 3299,crn:10977,1253
EDLR 3300W,crn:10992,1253
EDLR 3325,crn:11009,1253
EDLR 3345,crn:11014,1253
EDLR 3350,crn:11013,1253
EDLR 3547,crn:11004,1253
EDLR 3547W,crn:11011,1253
EEB 2100E,crn:12862,1253
EEB 2202,crn:11328,1253
EEB 2208E,crn:11327,1253
EEB 2222E,crn:11331,1253
EEB 2244E,crn:11297,1253
EEB 2245,crn:11306,1253
EEB 2254W,crn:11335,1253
EEB 2254W,crn:11337,1253
EEB 2254W,crn:11336,1253
EEB 2254W,crn:11334,1253
EEB 2258W,crn:11338,1253
EEB 3201,crn:12663,1253
EEB 3240,crn:11295,1253
EEB 3265,crn:11324,1253
EEB 3271,crn:11307,1253
EEB 3894,crn:14201,1253
EEB 3895,crn:11311,1253
EEB 3899,crn:14145,1253
EEB 4120,crn:10594,1253
EEB 4260,crn:11309,1253
EEB 4896W,crn:13884,1253
EGEN 3110,crn:10139,1253
EGEN 3200,crn:11624,1253
EGEN 4110,crn:10145,1253
EGEN 4110,crn:10144,1253
EGEN 4110,crn:10146,1253
EGEN 4110,crn:10148,1253
EGEN 4110,crn:10140,1253
EGEN 4110,crn:10141,1253
EGEN 4110,crn:10142,1253
EGEN 4110,crn:10147,1253
EGEN 4110,crn:10143,1253
EGEN 4197,crn:13900,1253
ENGL 1003,crn:3110,1253
ENGL 1004,crn:3116,1253
ENGL 1007,crn:3125,1253
ENGL 1101,crn:12090,1253
ENGL 1101W,crn:10269,1253
ENGL 1103W,crn:10307,1253
ENGL 1201,crn:10311,1253
ENGL 1401,crn:10361,1253
ENGL 1601W,crn:10318,1253
ENGL 1616W,crn:10271,1253
ENGL 2013W,crn:10355,1253
ENGL 2100,crn:10276,1253
ENGL 2101,crn:10278,1253
ENGL 2200,crn:11938,1253
ENGL 2201,crn:10293,1253
ENGL 2201W,crn:10295,1253
ENGL 2203,crn:10296,1253
ENGL 2203W,crn:12705,1253
ENGL 2214,crn:10299,1253
ENGL 2214W,crn:10301,1253
ENGL 2274W,crn:10323,1253
ENGL 2276,crn:10353,1253
ENGL 2276W,crn:10354,1253
ENGL 2301,crn:10285,1253
ENGL 2301W,crn:13273,1253
ENGL 2401,crn:10280,1253
ENGL 2401W,crn:12963,1253
ENGL 2405,crn:10284,1253
ENGL 2407,crn:10281,1253
ENGL 2408W,crn:10330,1253
ENGL 2411W,crn:10331,1253
ENGL 2413,crn:10349,1253
ENGL 2413W,crn:10350,1253
ENGL 2600,crn:10325,1253
ENGL 2603,crn:10343,1253
ENGL 2605W,crn:10351,1253
ENGL 2614,crn:10360,1253
ENGL 2635E,crn:10337,1253
ENGL 2701,crn:10273,1253
ENGL 2730W,crn:10357,1253
ENGL 3003W,crn:10291,1253
ENGL 3010W,crn:10279,1253
ENGL 3013W,crn:10336,1253
ENGL 3082,crn:14147,1253
ENGL 3091,crn:10303,1253
ENGL 3111W,crn:12089,1253
ENGL 3122,crn:10286,1253
ENGL 3122W,crn:12863,1253
ENGL 3212,crn:10297,1253
ENGL 3215W,crn:10348,1253
ENGL 3220W,crn:12312,1253
ENGL 3240E,crn:10309,1253
ENGL 3265W,crn:10317,1253
ENGL 3301,crn:10324,1253
ENGL 3320,crn:10329,1253
ENGL 3420,crn:10288,1253
ENGL 3422,crn:10320,1253
ENGL 3609,crn:13637,1253
ENGL 3611,crn:12096,1253
ENGL 3613,crn:10314,1253
ENGL 3623,crn:10289,1253
ENGL 3640,crn:10356,1253
ENGL 3699,crn:13951,1253
ENGL 3701,crn:12094,1253
ENGL 3703,crn:10287,1253
ENGL 3703,crn:10290,1253
ENGL 3713,crn:10333,1253
ENGL 3715E,crn:10334,1253
ENGL 4101W,crn:10321,1253
ENGL 4301W,crn:10322,1253
ENGL 4600W,crn:12095,1253
ENGL 4897,crn:10292,1253
ENGL 4965W,crn:10327,1253
ENGR 1025,crn:11091,1253
ENGR 1166,crn:12492,1253
ENGR 1166,crn:11035,1253
ENGR 1195,crn:14641,1253
ENGR 2215,crn:11078,1253
ENGR 2300E,crn:11086,1253
ENGR 3020,crn:14633,1253
ENGR 3021,crn:11080,1253
ENGR 3024,crn:11083,1253
ENGR 3025,crn:11082,1253
ENGR 3109,crn:11079,1253
ENGR 3120,crn:11076,1253
ENGR 3195,crn:11063,1253
ENGR 3195,crn:11059,1253
